City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Vardo,NO,70.37,31.11,33.8,74,40,18.34,scattered clouds
214,Aksha,RU,50.28,113.29,8.02,86,0,8.61,clear sky
215,Beipiao,CN,41.79,120.78,13.08,83,0,4.56,clear sky
216,Igunga,TZ,-4.28,33.88,69.82,80,99,2.75,overcast clouds
217,Todos Santos,MX,23.45,-110.22,75.99,59,0,3.0,clear sky
218,Upington,ZA,-28.45,21.26,69.8,18,0,4.7,clear sky
219,Vila,PT,42.03,-8.16,42.01,84,4,4.34,clear sky
220,Weihe,CN,33.0,105.32,28.35,92,100,4.05,overcast clouds
221,Sorong,ID,-0.88,131.25,80.98,76,93,5.12,overcast clouds
222,Juegang,CN,32.32,121.19,44.01,80,75,1.01,broken clouds
223,Cabedelo,BR,-6.98,-34.83,77.0,88,20,9.17,few clouds
224,Cherskiy,RU,68.75,161.3,-18.31,86,50,3.91,scattered clouds
225,Tambopata,PE,-12.73,-69.18,75.2,94,40,2.24,moderate rain
226,Puerto Del Rosario,ES,28.5,-13.86,64.4,82,20,2.24,few clouds
227,Bandarbeyla,SO,9.49,50.81,75.25,78,7,8.97,clear sky
228,Oxapampa,PE,-10.58,-75.4,64.27,89,99,1.19,light rain
229,Opuwo,NA,-18.06,13.84,71.42,29,14,5.44,few clouds
230,Shache,CN,38.42,77.24,18.9,90,35,5.82,scattered clouds
231,Mahebourg,MU,-20.41,57.7,77.0,94,75,5.82,shower rain
232,Nicoya,CR,10.15,-85.45,82.4,69,75,10.29,broken clouds
233,Timbiqui,CO,2.77,-77.67,75.06,91,100,2.19,overcast clouds
234,Saint-Denis,FR,48.92,2.33,45.0,86,0,6.93,clear sky
235,Sumbe,AO,-11.21,13.84,77.04,82,100,4.76,light rain
236,Impfondo,CG,1.64,18.07,71.74,60,54,1.25,broken clouds
237,Coihaique,CL,-45.58,-72.07,50.0,46,20,33.33,few clouds
238,Mineros,BO,-17.12,-63.23,87.8,55,75,12.75,broken clouds
239,Xuddur,SO,4.12,43.89,71.46,86,73,14.72,broken clouds
240,Erenhot,CN,43.65,111.98,3.2,91,0,8.63,clear sky
241,Wagar,SD,16.15,36.2,69.12,82,0,9.37,clear sky
242,Poya,NC,-21.35,165.15,83.55,44,0,6.6,clear sky
243,Sambava,MG,-14.27,50.17,73.24,91,4,4.45,clear sky
244,Dharmadam,IN,11.78,75.43,73.4,88,40,5.82,mist
245,Concepcion Del Uruguay,AR,-32.48,-58.24,68.0,97,100,4.0,overcast clouds
246,Saint George,US,37.1,-113.58,51.8,20,1,9.17,clear sky
247,Lebyazhye,RU,55.27,66.49,1.38,93,0,3.11,clear sky
248,Guarapari,BR,-20.67,-40.5,75.99,94,40,13.87,light rain
249,Pisco,PE,-13.7,-76.22,69.8,73,0,21.92,clear sky
250,Middelburg,ZA,-25.78,29.46,57.85,81,0,9.35,clear sky
251,Kitimat,CA,54.05,-128.65,36.0,95,1,1.9,clear sky
252,Gravdal,NO,68.12,13.5,42.8,81,75,20.8,moderate rain
253,Mul,IN,20.07,79.67,60.37,62,70,3.31,broken clouds
254,Pastavy,BY,55.12,26.83,25.14,98,91,6.06,overcast clouds
255,Conde,BR,-7.26,-34.91,77.0,88,20,9.17,few clouds
256,Ouegoa,NC,-20.35,164.43,81.91,56,0,10.2,clear sky
257,George Town,MY,5.41,100.34,78.8,88,40,3.36,scattered clouds
