City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Bela,IN,2020-11-30 19:45:44,25.93,81.98,62.31,33,0,3.31
227,Portland,US,2020-11-30 19:45:22,45.52,-122.68,51.01,87,40,10.29
228,East London,ZA,2020-11-30 19:40:53,-33.02,27.91,67.73,72,36,15.28
229,Aripuana,BR,2020-11-30 19:45:44,-9.17,-60.63,87.67,56,73,1.12
230,Okitipupa,NG,2020-11-30 19:45:44,6.5,4.78,76.82,93,100,2.62
231,Belmonte,BR,2020-11-30 19:45:44,-15.86,-38.88,82.4,69,20,4.7
232,Havelock,US,2020-11-30 19:45:44,34.88,-76.9,71.01,95,49,15.01
233,Lulea,SE,2020-11-30 19:45:22,65.58,22.15,35.6,95,75,12.75
234,Hamilton,US,2020-11-30 19:44:02,39.18,-84.53,35.6,100,90,11.41
235,Lata,PT,2020-11-30 19:45:44,40.16,-8.33,62.01,85,100,4.56
236,Chara,RU,2020-11-30 19:45:45,56.91,118.26,-8.18,79,99,1.07
237,Belyy Yar,RU,2020-11-30 19:45:45,53.6,91.39,-0.4,84,40,2.24
238,Sao Joao Da Barra,BR,2020-11-30 19:45:45,-21.64,-41.05,84.2,58,0,23.04
239,Aksarka,RU,2020-11-30 19:45:45,66.56,67.8,13.95,94,16,15.12
240,Tarbes,FR,2020-11-30 19:45:05,43.25,0.17,48.2,100,90,3.36
241,Tuy Hoa,VN,2020-11-30 19:45:45,13.08,109.3,76.14,88,97,14.99
242,Gravdal,NO,2020-11-30 19:45:45,68.12,13.5,41.0,86,75,5.82
243,Najran,SA,2020-11-30 19:45:45,17.49,44.13,71.6,46,40,6.93
244,College,US,2020-11-30 19:45:45,64.86,-147.8,3.0,76,40,4.18
245,Ixtapa,MX,2020-11-30 19:45:45,20.7,-105.2,82.4,69,5,6.93
246,Xique-Xique,BR,2020-11-30 19:45:46,-10.82,-42.73,82.56,52,69,9.6
247,Kampong Cham,KH,2020-11-30 19:45:46,11.99,105.46,73.09,88,99,10.27
248,Cayenne,GF,2020-11-30 19:42:06,4.93,-52.33,82.4,78,75,8.05
249,Mount Gambier,AU,2020-11-30 19:45:46,-37.83,140.77,68.0,60,75,13.87
250,Parauna,BR,2020-11-30 19:45:46,-16.95,-50.45,87.12,39,27,3.96
251,Carthage,TN,2020-11-30 19:45:46,36.86,10.33,60.8,77,20,5.82
252,Goure,NE,2020-11-30 19:45:46,13.98,10.27,81.0,15,0,5.01
253,Bathsheba,BB,2020-11-30 19:45:46,13.22,-59.52,82.4,78,40,13.87
254,Muros,ES,2020-11-30 19:45:46,42.78,-9.06,57.0,78,0,1.99
255,Sorong,ID,2020-11-30 19:45:47,-0.88,131.25,80.92,78,100,4.94
256,Pangnirtung,CA,2020-11-30 19:45:47,66.15,-65.71,6.8,92,90,4.7
257,Michalovce,SK,2020-11-30 19:45:47,48.75,21.92,30.0,90,35,2.15
258,Narsaq,GL,2020-11-30 19:45:47,60.92,-46.05,37.4,37,75,17.22
259,Mitu,CO,2020-11-30 19:45:47,1.2,-70.17,82.74,88,99,1.41
260,Zhigansk,RU,2020-11-30 19:45:47,66.77,123.37,-6.83,91,100,20.67
261,Berlevag,NO,2020-11-30 19:45:47,70.86,29.09,30.2,86,20,41.38
262,Awjilah,LY,2020-11-30 19:45:47,29.11,21.29,61.18,60,0,13.02
263,Quatre Cocos,MU,2020-11-30 19:45:47,-20.21,57.76,77.0,83,40,13.87
264,Husavik,IS,2020-11-30 19:45:47,66.04,-17.34,24.8,79,0,3.36
265,Tongchuan,CN,2020-11-30 19:41:09,35.08,109.09,31.75,97,100,2.62
266,Tres Arroyos,AR,2020-11-30 19:45:48,-38.37,-60.28,77.41,18,0,3.83
267,Villamontes,BO,2020-11-30 19:45:48,-21.25,-63.5,85.55,47,100,10.89
268,Aberfoyle,AU,2020-11-30 19:45:48,-30.27,152.02,59.76,91,81,4.27
269,Ponta Delgada,PT,2020-11-30 19:45:48,37.73,-25.67,59.0,77,40,18.34
270,Humaita,BR,2020-11-30 19:45:48,-7.51,-63.02,85.86,71,81,3.04
271,Boden,SE,2020-11-30 19:45:48,65.83,21.69,35.6,95,75,12.75
272,Flin Flon,CA,2020-11-30 19:45:01,54.77,-101.86,17.6,85,75,4.7
273,Comodoro Rivadavia,AR,2020-11-30 19:43:06,-45.87,-67.5,75.2,19,0,23.04
274,Necochea,AR,2020-11-30 19:45:49,-38.55,-58.74,64.54,37,0,11.9
275,La Ronge,CA,2020-11-30 19:45:49,55.1,-105.28,23.0,67,89,3.36
276,Grindavik,IS,2020-11-30 19:45:49,63.84,-22.43,33.8,95,90,29.97
277,Namibe,AO,2020-11-30 19:45:49,-15.2,12.15,71.8,70,60,8.41
278,Makakilo City,US,2020-11-30 19:45:49,21.35,-158.09,78.8,61,1,4.7
279,Omboue,GA,2020-11-30 19:45:49,-1.57,9.26,77.67,90,100,4.88
280,Ribeira Grande,PT,2020-11-30 19:45:49,38.52,-28.7,60.8,67,20,14.99
281,Mehran,IR,2020-11-30 19:45:49,33.12,46.16,41.0,93,0,4.7
282,Lasa,IT,2020-11-30 19:45:49,46.62,10.7,30.2,68,5,4.7
283,Sharlyk,RU,2020-11-30 19:45:50,52.92,54.75,14.04,96,1,5.61
284,San Patricio,US,2020-11-30 19:45:50,28.02,-97.52,55.99,42,75,18.34
285,Grand Gaube,MU,2020-11-30 19:45:50,-20.01,57.66,77.0,81,1,5.99
286,Port Elizabeth,ZA,2020-11-30 19:45:50,-33.92,25.57,62.6,77,20,13.87
287,Bilibino,RU,2020-11-30 19:45:50,68.05,166.44,-16.69,86,95,1.52
288,Brigantine,US,2020-11-30 19:45:50,39.41,-74.36,64.4,88,90,17.22
289,Khorixas,NA,2020-11-30 19:45:50,-20.37,14.97,70.86,28,68,11.77
290,Roebourne,AU,2020-11-30 19:45:50,-20.78,117.13,87.26,21,0,15.28
291,Tema,GH,2020-11-30 19:45:50,5.67,-0.02,82.4,83,20,10.29
292,Dzilam Gonzalez,MX,2020-11-30 19:45:51,21.28,-88.93,73.9,86,90,13.2
293,Suntar,RU,2020-11-30 19:45:51,62.14,117.63,-2.83,91,79,6.62
294,Taseyevo,RU,2020-11-30 19:45:51,57.22,94.9,10.69,94,100,8.23
295,Los Llanos De Aridane,ES,2020-11-30 19:45:51,28.66,-17.92,69.8,52,75,3.36
296,Kavieng,PG,2020-11-30 19:45:51,-2.57,150.8,79.63,81,91,3.94
297,Coquimbo,CL,2020-11-30 19:45:51,-29.95,-71.34,60.8,77,40,12.75
298,Gold Coast,AU,2020-11-30 19:45:51,-28.0,153.43,75.0,73,90,5.82
299,Seoul,KR,2020-11-30 19:41:58,37.57,126.98,30.2,46,1,2.68
300,Sol-Iletsk,RU,2020-11-30 19:45:51,51.16,54.99,8.82,94,0,9.04
301,Sitka,US,2020-11-30 19:45:51,57.05,-135.33,37.4,86,75,9.17
302,Port Lincoln,AU,2020-11-30 19:45:52,-34.73,135.87,61.16,71,100,23.33
303,Qasigiannguit,GL,2020-11-30 19:45:52,68.82,-51.19,17.6,52,75,8.05
