City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Lipay,PH,79.72,overcast clouds,15.46,119.92,Myhousebythesea
618,Zacatecoluca,SV,86.0,clear sky,13.5,-88.87,Hotel Primavera
621,Juba,SS,79.48,overcast clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
628,Salalah,OM,78.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
636,Stabat,ID,77.0,mist,3.76,98.45,Link VII damai
637,San Juan,AR,84.11,clear sky,-31.54,-68.54,Hotel Provincial
640,Morant Bay,JM,84.2,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
642,Puerto Lempira,HN,78.37,scattered clouds,15.27,-83.77,Hotel Yu baiwan
644,Calabasas,US,77.0,clear sky,34.16,-118.64,The Anza A Calabasas Hotel
648,Wewak,PG,79.45,broken clouds,-3.55,143.63,In Wewak Boutique Hotel
649,Kailua,US,80.6,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
651,San Ignacio,BZ,77.0,light rain,17.16,-89.07,Rainforest Haven Inn
653,Triunfo,BR,75.2,heavy intensity rain,-29.94,-51.72,Ilha das Pedras de Triunfo Hotel/RS
654,Namatanai,PG,78.24,moderate rain,-3.67,152.43,Namatanai Hotel
655,Kedougou,SN,79.66,few clouds,12.56,-12.17,Relais de Kédougou
656,Dwarka,IN,75.43,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
657,Tual,ID,83.3,light rain,-5.67,132.75,Grand Vilia Hotel
662,Guasdualito,VE,75.43,overcast clouds,7.24,-70.73,Hotel Cuibas
668,Petatlan,MX,87.8,clear sky,17.52,-101.27,Hotel California Petatlán
670,San Pedro,PH,80.6,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
674,Axim,GH,79.65,clear sky,4.87,-2.24,AXIM BEACH RESORT AND SPA
682,Maragogi,BR,78.15,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
688,Kroya,ID,78.3,overcast clouds,-7.63,109.25,RUSTANTO Fam
693,Itaituba,BR,81.3,light rain,-4.28,-55.98,Hotel Campos
701,Batie,BF,77.02,clear sky,9.88,-2.92,Auberge SONDAR AFACI
702,Kupang,ID,77.0,light rain,-10.17,123.58,Sylvia Hotel Premier Kupang
